series,Series,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024,YR2025
SI.POV.GINI,Gini index,35.4,,,,,,,40.2,,,,39.7,,,36.1,,,38.7,,,,39.3,,,37.7,,,,,,
NY.GDP.MKTP.KD.ZG,GDP growth (annual %),5.5000852341585,3.79996720568178,6.40539969571286,4.69842304772052,4.30054049813373,6.00003315828934,-1.54540813366026,3.96467568513113,5.9402690780223,5.44506127885352,6.24174804376447,7.66829190107919,6.79682611892866,5.95008814473897,3.53891205317842,8.01596737055139,8.6694830119314,8.63218137662685,4.05174633027869,6.3779788972687,4.20595547449241,5.05362488994436,6.46068127065753,2.31008425545845,-0.220483886831275,-4.62451503749502,4.2074764951157,-7.34919301306745,-2.3298481898334,5.00871930957159,
NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),1681.35053208093,1712.00815802791,1787.41017985524,1836.38946262206,1880.1067802774,1956.93310381072,1896.48251734068,1951.22522777045,2052.03045078787,2149.10628588002,2268.6880127005,2426.34873273046,2573.54362192705,2708.58594222506,2787.27350976338,2993.01411511147,3232.37350382301,3484.79049033884,3728.93586647848,3929.92062032185,4057.7158346231,4214.74117992085,4436.00789945768,4493.03575444544,4455.78189608267,4227.23315306594,4357.97225779491,4033.14561476298,3964.91987394354,4186.4986638365,
SP.URB.TOTL.IN.ZS,Urban population (% of total population),15.8652068539762,15.5065242809941,15.1948401614719,14.9379455930521,14.7436316733772,14.6196895000898,14.5739539539707,14.6107836754127,14.7256630416211,14.9130061059922,15.167273918248,15.4829275281105,15.8544279853018,16.2762363395441,16.7428136405592,17.2486209380693,17.7881192817964,18.2617686748284,18.4323136480916,18.6153877203724,18.796256612131,18.9747679368162,19.1507693078088,19.3241083384127,19.4946326418437,19.6621898312161,19.8266275195269,19.9877933196367,20.1455348442463,20.2996997058686,
NV.IND.TOTL.ZS,"Industry (including construction), value added (% of GDP)",26.6839789029789,26.5742275506166,26.9936625997448,27.6167149449992,27.3613237332533,27.3180767964657,26.8205944160785,28.0106134516732,28.4245704176973,28.6181015199147,30.1880884644457,30.6422951801489,29.9198197775274,29.3711947494741,29.6714387318411,27.7831982984661,29.0731497643121,30.9698538096371,30.7956807273264,30.5178954294297,29.5354178735039,30.4827177292135,31.1282786464433,30.0568195254141,29.1910098710383,28.235832875126,29.9540097663376,29.8058315790625,25.7826769471156,25.5288051289463,
SE.SEC.ENRR,"School enrollment, secondary (% gross)",87.1477432250977,,,,,,,,,,,,,,,92.3497085571289,94.108642578125,94.6744689941406,95.1442636196356,93.4926277980089,94.4516928962286,93.9037221276375,94.0418660922689,95.9107331693991,,,89.8339685558794,88.1918156520303,87.9534065332114,,
BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",0.42975354803099,0.862545735590984,2.84957994822129,1.22725240374875,1.12277824473328,1.04207418020439,1.09074720867871,1.1882779089504,1.21132740876657,1.12667735136244,1.11612854301768,1.6970072277349,1.8639738781084,1.84752962305149,0.960390452698523,0.814446069624814,1.41088360121529,1.3359173422599,1.21148000445532,1.08277813761066,0.798746315198801,1.01937184461335,1.45462805347273,1.70888696252001,0.835367459152173,0.514700552667608,0.66882570941316,1.19249322228342,0.851705946554554,0.769118881748846,
NE.TRD.GNFS.ZS,Trade (% of GDP),81.6350490886111,78.8739637143809,80.1375533095503,78.4949891255872,78.7514783496374,88.636441704913,80.8986015327576,76.3351317826517,75.336247330543,79.4829449011187,73.6039729580533,71.2611784883009,68.6065116601391,63.369043608222,49.1491415308235,,,,,,46.9179708088816,46.4715370252187,47.1404098004644,49.8093967521361,49.42552388546,37.089118857292,41.2288463291999,46.6826080196819,43.5362302960951,42.3975008711047,
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",7.67484873449805,15.9358310447214,9.57369626405162,9.36424300683229,4.69170563048438,6.17627591012045,14.15845579912,9.55103167007251,6.31463787051174,7.57592582995856,11.6396860971118,10.0201836057035,15.8421114924843,22.5644955300126,3.46496322106074,6.2176488930462,6.7167684358854,7.54291373239437,6.90845034828452,3.1790022823606,3.76836783062096,3.9588884659307,7.70413767850602,2.135037737132,3.52839358231811,6.15394508391738,7.01478071238195,49.7211021114327,16.5411742279832,-0.42936004906973,
SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",12.27,11.35,10.6,9.17,8.88,7.74,7.9,8.76,8.22,8.38,7.67,6.5,5.97,5.22,5.85,4.784,4.118,3.88,4.186,4.157,4.519,4.242,4.046,4.318,4.67,5.364,4.981,4.528,4.528,4.239,4.005
