Year,palma_ratio
1994,3.8786797502230153
1995,4.1402214022140225
1996,4.153061224489796
1997,4.171802054154995
1998,4.175257731958763
1999,4.2267552182163195
2000,4.245229007633588
2001,4.262906309751434
2002,4.35631067961165
2003,4.486111111111111
2004,4.509452736318408
2005,4.557114228456913
2006,4.4816285998013905
2007,4.447968285431119
2008,4.177251184834123
2009,4.06145251396648
2010,4.108286252354049
2011,3.997229916897507
2012,3.9596330275229357
2013,3.9180327868852465
2014,3.8489208633093526
2015,3.749338040600177
2016,3.724956063268893
2017,3.7291116974494285
2018,3.7291116974494285
2019,3.7291116974494285
2020,3.7291116974494285
2021,3.7291116974494285
2022,3.7291116974494285
2023,3.7291116974494285
2024,3.7291116974494285
