Year,palma_ratio
1994,4.358999037536092
1995,4.538537549407114
1996,4.465686274509804
1997,4.405458089668616
1998,4.326254826254826
1999,4.302123552123552
2000,4.251681075888569
2001,4.191793893129771
2002,4.208453410182517
2003,4.264849074975658
2004,4.212003872216844
2005,4.192642787996127
2006,4.203307392996109
2007,4.242632612966601
2008,4.0389733840304185
2009,3.970809792843691
2010,4.072115384615385
2011,3.9820245979186377
2012,3.9650943396226417
2013,3.9352720450281424
2014,3.882899628252788
2015,3.793418647166362
2016,3.779398359161349
2017,3.783759124087591
2018,3.783759124087591
2019,3.783759124087591
2020,3.783759124087591
2021,3.783759124087591
2022,3.783759124087591
2023,3.783759124087591
2024,3.783759124087591
