Year,palma_ratio
1994,3.6715643906655147
1995,3.595076400679117
1996,3.5212677231025853
1997,3.9044247787610615
1998,4.308630393996247
1999,4.199443413729128
2000,4.054644808743169
2001,3.9026785714285714
2002,4.0857933579335795
2003,4.301724137931034
2004,4.405063291139241
2005,4.669322709163348
2006,4.372115384615385
2007,4.1138059701492535
2008,3.861730597680642
2009,3.747156605424322
2010,3.7920353982300883
2011,3.787905346187555
2012,3.724498692240628
2013,3.6496539792387543
2014,3.8079295154185018
2015,3.9234875444839856
2016,3.836411609498681
2017,3.7672188317349606
2018,3.700086430423509
2019,3.700086430423509
2020,3.700086430423509
2021,3.700086430423509
2022,3.700086430423509
2023,3.700086430423509
2024,3.700086430423509
