Year,palma_ratio
1994,4.031222123104371
1995,4.178966789667897
1996,4.283858998144712
1997,4.390289449112979
1998,4.4779756326148075
1999,4.608159392789374
2000,4.700381679389313
2001,4.77055449330784
2002,4.910679611650486
2003,4.9980158730158735
2004,4.984079601990049
2005,4.99498997995992
2006,4.933465739821251
2007,4.827552031714569
2008,4.4966824644549765
2009,4.322160148975792
2010,4.477401129943503
2011,4.441366574330563
2012,4.464220183486239
2013,4.442622950819673
2014,4.392985611510792
2015,4.312444836716681
2016,4.304042179261863
2017,4.307827616534741
2018,4.307827616534741
2019,4.307827616534741
2020,4.307827616534741
2021,4.307827616534741
2022,4.307827616534741
2023,4.307827616534741
2024,4.307827616534741
