Year,va_score,cc_score,ge_score
1996,51.29,30.2,35.57
1997,,,
1998,50.75,30.18,40.75
1999,,,
2000,49.11,24.78,34.4
2001,,,
2002,45.29,18.52,34.73
2003,44.32,18.24,30.6
2004,45.98,17.17,33.72
2005,47.11,18.24,33.94
2006,47.88,18.91,32.99
2007,47.96,24.63,34.37
2008,48.65,28.66,34.91
2009,51.2,29.41,35.5
2010,51.33,27.17,35.65
2011,49.7,26.55,35.06
2012,46.13,25.16,35.81
2013,44.51,24.93,36.29
2014,43.05,23.88,38.02
2015,41.5,26.0,38.61
2016,40.51,26.26,40.96
2017,40.8,26.35,40.2
2018,40.01,25.66,39.3
2019,39.52,25.58,39.73
2020,39.26,26.07,37.31
2021,38.35,25.73,40.38
2022,38.08,24.0,39.22
2023,36.98,23.59,40.5
2024,36.53,25.55,39.31
