Year,va_score,cc_score,ge_score
1996,62.34,42.5,46.58
1997,,,
1998,62.35,44.72,42.62
1999,,,
2000,61.45,43.58,40.68
2001,,,
2002,62.35,36.59,41.97
2003,62.67,36.77,43.03
2004,62.9,40.0,47.54
2005,64.37,39.57,47.82
2006,66.48,43.2,48.89
2007,66.53,41.23,51.03
2008,65.72,41.88,48.32
2009,65.0,40.87,49.52
2010,63.77,40.53,49.12
2011,63.3,37.92,49.93
2012,61.65,37.67,49.61
2013,62.14,38.33,50.2
2014,61.48,39.48,51.08
2015,62.05,40.87,59.06
2016,62.18,42.08,58.65
2017,61.32,43.31,58.2
2018,60.41,43.65,61.09
2019,58.79,43.44,61.17
2020,57.84,42.7,58.13
2021,55.17,41.77,56.01
2022,55.13,41.93,57.94
2023,54.35,41.07,59.56
2024,55.47,41.88,59.21
