Year,va_score,cc_score,ge_score
1996,49.95,37.26,35.99
1997,,,
1998,48.33,37.21,35.81
1999,,,
2000,46.8,37.07,35.87
2001,,,
2002,40.12,37.29,30.98
2003,47.09,40.94,30.8
2004,39.87,29.16,37.39
2005,39.34,30.19,33.43
2006,45.57,32.97,31.25
2007,50.37,32.0,32.93
2008,49.9,30.38,31.58
2009,49.27,32.52,36.03
2010,48.43,33.13,37.87
2011,49.39,31.02,35.86
2012,48.33,28.15,29.77
2013,50.31,29.27,30.89
2014,51.24,30.79,33.93
2015,51.16,31.04,28.72
2016,52.58,30.73,32.25
2017,53.63,32.04,33.3
2018,54.71,32.91,33.56
2019,53.78,32.94,29.73
2020,54.55,33.66,31.38
2021,54.32,35.21,32.94
2022,55.12,34.66,32.78
2023,55.92,35.12,34.93
2024,55.8,35.05,34.14
