Year,va_score,cc_score,ge_score
1996,39.79,24.45,40.83
1997,,,
1998,38.86,31.65,40.75
1999,,,
2000,33.12,28.13,40.77
2001,,,
2002,35.38,29.36,39.54
2003,35.91,29.18,35.91
2004,35.04,25.83,38.56
2005,37.16,26.11,38.83
2006,40.96,30.02,40.9
2007,39.47,30.73,41.07
2008,39.97,26.84,35.92
2009,40.47,24.0,36.2
2010,41.52,23.52,36.23
2011,39.94,23.15,35.29
2012,40.09,22.65,38.7
2013,40.53,25.0,38.51
2014,41.6,27.52,38.08
2015,42.27,28.0,39.47
2016,42.43,28.16,41.03
2017,42.52,28.93,43.15
2018,42.33,28.34,41.48
2019,41.03,28.19,41.68
2020,41.57,28.89,39.38
2021,40.73,29.51,41.29
2022,39.87,28.71,38.08
2023,38.91,26.68,38.54
2024,36.44,26.28,39.67
